,SeniorCitizen,Partner,Dependents,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,gender_Female,gender_Male,MultipleLines_False,MultipleLines_True,InternetService_DSL,InternetService_Fiber optic,OnlineSecurity_False,OnlineSecurity_True,OnlineBackup_False,OnlineBackup_True,DeviceProtection_False,DeviceProtection_True,TechSupport_False,TechSupport_True,StreamingTV_False,StreamingTV_True,StreamingMovies_False,StreamingMovies_True,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group_1 - 12,tenure_group_13 - 24,tenure_group_25 - 36,tenure_group_37 - 48,tenure_group_49 - 60,tenure_group_61 - 72
14,False,False,False,True,True,105.5,2686.050048828125,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
15,False,True,True,True,False,113.25,7895.14990234375,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
17,False,False,True,True,False,106.69999694824219,7382.25,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
18,False,True,True,True,False,55.20000076293945,528.3499755859375,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
19,False,False,False,True,True,90.05000305175781,1862.9000244140625,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
23,False,True,False,True,True,59.900001525878906,3505.10009765625,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
24,False,True,True,True,False,59.599998474121094,2970.300048828125,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
25,False,False,False,True,True,55.29999923706055,1530.5999755859375,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
26,False,True,True,True,True,99.3499984741211,4749.14990234375,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
28,False,True,False,True,True,90.25,6369.4501953125,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
29,False,False,True,True,True,64.69999694824219,1093.0999755859375,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
30,True,True,False,True,True,96.3499984741211,6766.9501953125,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
31,True,True,False,True,True,95.5,181.64999389648438,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
32,False,True,True,True,False,66.1500015258789,1874.449951171875,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
34,True,False,False,True,False,45.25,45.25,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
35,False,True,True,True,False,99.9000015258789,7251.7001953125,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
36,False,False,False,True,True,69.69999694824219,316.8999938964844,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
37,False,False,False,True,True,74.80000305175781,3548.300048828125,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
38,False,False,False,True,True,106.3499984741211,3549.25,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
39,False,False,False,True,True,97.8499984741211,1105.4000244140625,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
40,False,True,True,True,False,49.54999923706055,475.70001220703125,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
41,False,True,True,True,True,69.19999694824219,4872.35009765625,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
43,False,False,False,True,True,79.8499984741211,4861.4501953125,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
44,False,True,False,True,True,76.19999694824219,981.4500122070312,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
45,False,False,False,True,True,84.5,3906.699951171875,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
46,False,False,False,True,False,49.25,97.0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
47,False,False,False,True,True,80.6500015258789,144.14999389648438,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
48,False,False,False,True,True,79.75,4217.7998046875,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
49,False,True,True,True,True,64.1500015258789,4254.10009765625,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
50,True,False,False,True,True,90.25,3838.75,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
51,False,False,False,True,True,99.0999984741211,1426.4000244140625,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
52,True,True,False,True,True,69.5,1752.6500244140625,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
53,True,True,False,True,True,80.6500015258789,633.2999877929688,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
54,True,True,True,True,True,74.8499984741211,4456.35009765625,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
55,True,False,False,True,True,95.44999694824219,1752.550048828125,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
56,False,True,True,True,True,99.6500015258789,6311.2001953125,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
57,True,True,True,True,True,108.44999694824219,7076.35009765625,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
59,False,False,False,True,True,107.5,7853.7001953125,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
60,False,True,False,True,True,100.5,4707.10009765625,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
61,False,False,False,True,True,89.9000015258789,5450.7001953125,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
63,False,True,True,True,True,54.400001525878906,957.0999755859375,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
64,False,False,False,True,False,94.4000015258789,857.25,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
65,False,False,False,True,True,75.30000305175781,244.10000610351562,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
66,False,True,False,True,True,78.9000015258789,3650.35009765625,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
67,False,False,False,True,False,79.19999694824219,2497.199951171875,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
69,False,False,False,True,True,79.8499984741211,887.3499755859375,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
70,False,False,False,True,False,49.04999923706055,49.04999923706055,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
72,True,True,True,True,True,111.5999984741211,7099.0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
74,False,False,True,True,True,64.5,177.39999389648438,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
75,True,False,False,True,False,110.5,6139.5,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
76,False,False,False,True,False,55.650001525878906,2688.85009765625,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
77,False,True,True,True,False,54.650001525878906,482.25,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
78,True,False,False,True,True,74.75,2111.300048828125,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
80,False,False,True,True,True,79.3499984741211,79.3499984741211,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
82,False,True,False,True,True,75.1500015258789,496.8999938964844,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
83,False,False,False,True,True,103.80000305175781,4327.5,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
85,False,False,False,True,True,99.30000305175781,918.75,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
86,False,True,False,True,True,62.150001525878906,2215.449951171875,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
90,False,True,True,True,False,82.05000305175781,2570.199951171875,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
91,True,False,False,True,False,74.69999694824219,74.69999694824219,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
92,False,True,True,True,True,84.0,5714.25,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
93,False,False,False,True,True,111.05000305175781,7107.0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
94,False,False,False,True,True,100.9000015258789,7459.0498046875,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
95,False,False,False,True,True,78.94999694824219,927.3499755859375,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
96,False,True,True,True,True,66.8499984741211,4748.7001953125,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
99,True,True,False,True,True,98.5,2514.5,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
102,False,False,False,True,False,95.0,3605.60009765625,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
104,False,True,False,True,True,110.0,7611.85009765625,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
106,False,True,True,True,True,104.1500015258789,7303.0498046875,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
108,False,False,False,True,False,94.3499984741211,3921.300048828125,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
110,False,True,False,True,True,96.75,5238.89990234375,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
111,False,False,False,True,False,57.95000076293945,3042.25,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
112,False,False,False,True,True,91.6500015258789,3954.10009765625,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
113,True,True,False,True,True,76.5,2868.14990234375,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
115,False,True,True,True,False,89.8499984741211,248.39999389648438,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
117,False,True,True,True,True,100.25,1064.6500244140625,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
119,False,True,True,True,True,85.19999694824219,2151.60009765625,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
120,False,True,True,True,True,99.80000305175781,5515.4501953125,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
122,False,False,False,True,True,74.4000015258789,229.5500030517578,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
123,False,True,True,True,False,50.70000076293945,350.3500061035156,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
125,False,False,False,True,True,88.94999694824219,3027.64990234375,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
126,True,False,False,True,True,78.05000305175781,2135.5,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
130,False,False,False,True,True,85.94999694824219,1215.6500244140625,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
132,False,False,False,True,False,50.54999923706055,3260.10009765625,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
134,False,False,False,True,False,44.349998474121094,81.25,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
136,False,False,False,True,True,75.0,1778.5,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
139,True,True,False,True,True,70.44999694824219,70.44999694824219,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
140,True,True,True,True,True,88.05000305175781,6425.64990234375,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
141,False,False,False,True,False,71.1500015258789,563.6500244140625,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
142,False,True,False,True,True,101.05000305175781,5971.25,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
143,False,False,False,True,True,84.30000305175781,5289.0498046875,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
145,False,True,True,True,True,99.05000305175781,6416.7001953125,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
147,False,False,False,True,True,45.650001525878906,45.650001525878906,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
148,False,False,True,True,False,64.5,1929.949951171875,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
149,False,True,True,True,True,69.5,1071.4000244140625,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
150,False,True,True,True,True,68.55000305175781,564.3499755859375,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
151,False,False,False,True,False,95.0,655.5,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
152,False,True,True,True,True,108.1500015258789,7930.5498046875,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
153,False,True,True,True,False,86.0999984741211,5215.25,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
155,False,True,True,True,True,80.9000015258789,1152.800048828125,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
156,False,False,False,True,True,84.1500015258789,1821.949951171875,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
158,False,True,True,True,False,64.25,1024.0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
160,False,False,True,True,True,56.0,764.5499877929688,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
161,False,True,False,True,False,82.4000015258789,1592.3499755859375,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
162,False,False,False,True,True,69.69999694824219,135.1999969482422,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
163,False,False,False,True,True,73.9000015258789,3958.25,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
166,False,False,False,True,True,70.9000015258789,273.0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
167,False,True,False,True,True,89.05000305175781,6254.4501953125,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
170,False,True,False,True,True,84.25,3539.25,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
171,False,True,False,True,True,104.4000015258789,242.8000030517578,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
172,False,True,False,True,False,81.94999694824219,1181.75,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
173,False,True,False,True,True,94.8499984741211,5000.2001953125,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
176,True,False,False,True,True,74.44999694824219,1145.699951171875,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
177,True,False,False,True,False,76.44999694824219,503.6000061035156,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
178,False,True,True,True,True,105.3499984741211,1559.25,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
181,False,False,False,True,False,45.29999923706055,45.29999923706055,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
182,False,False,False,True,False,84.5,662.6500244140625,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
183,False,True,True,True,False,74.75,2453.300048828125,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
184,False,False,False,True,True,79.25,1111.6500244140625,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
186,False,False,False,True,True,51.79999923706055,1023.8499755859375,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
189,False,True,False,True,False,56.599998474121094,2379.10009765625,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
190,False,True,True,True,True,71.9000015258789,3173.35009765625,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
191,False,True,False,True,True,91.0,531.0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
193,False,True,True,True,False,109.69999694824219,8129.2998046875,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
195,False,True,False,True,True,96.55000305175781,1901.6500244140625,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
197,False,False,False,True,True,111.3499984741211,6519.75,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
198,False,True,True,True,True,112.25,8041.64990234375,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
200,False,True,False,True,True,101.9000015258789,2681.14990234375,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
201,False,False,False,True,True,80.05000305175781,1112.300048828125,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
202,False,True,True,True,False,105.55000305175781,7405.5,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
203,False,False,True,True,True,78.30000305175781,1033.949951171875,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
204,False,False,False,True,False,68.8499984741211,2958.949951171875,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
205,False,False,False,True,True,79.94999694824219,2684.85009765625,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
207,False,False,False,True,False,79.9000015258789,79.9000015258789,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
208,False,False,False,True,True,106.5999984741211,1934.449951171875,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
209,False,True,False,True,True,102.44999694824219,6654.10009765625,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
